,count,log_count,grid_count,log_grid,FRDBI_count,log_FRDBI_count,FRDBI_grid,log_FRDBI_grid,logit_grid,logit_FRDB_grid,,
Amanita rubescens var. rubescens,266,2.424881637,79,1.897627091,8431,3.925879089,1358,3.13289977,-0.830726691,0.075233666,,
Amanita strobiliformis,60,1.77815125,16,1.204119983,176,2.245512668,82,1.913813852,-1.572581201,-1.469642444,,
Amanita vaginata,94,1.973127854,48,1.681241237,1358,3.13289977,560,2.748188027,-1.071575194,-0.539613703,,
Amanita virosa,17,1.230448921,11,1.041392685,175,2.243038049,87,1.939519253,-1.738924627,-1.443038069,,
Amblyosporium botrytis,1,0,1,0,6,0.77815125,2,0.301029996,-2.787460475,-3.096562438,,
Amerosporium polynematoides,1,0,1,0,9,0.954242509,7,0.84509804,-2.787460475,-2.551624238,,
Amphinema byssoides,3,0.477121255,3,0.477121255,140,2.146128036,71,1.851258349,-2.308919956,-1.534169166,,
Ampulloclitocybe clavipes,59,1.770852012,38,1.579783597,2305,3.36267093,641,2.80685803,-1.180638887,-0.46242136,,
Amylostereum laevigatum,4,0.602059991,4,0.602059991,458,2.660865478,168,2.225309282,-2.183269844,-1.142419264,,
Annulohypoxylon multiforme,115,2.06069784,45,1.653212514,3886,3.589502796,881,2.944975908,-1.101899753,-0.26427094,,
Anthracobia macrocystis,8,0.903089987,6,0.77815125,302,2.480006943,156,2.193124598,-2.005752329,-1.176833009,,
Anthracobia maurilabra,1,0,1,0,148,2.170261715,100,2,-2.787460475,-1.380211242,,
Anthracobia melaloma,14,1.146128036,10,1,299,2.475671188,176,2.245512668,-1.781036939,-1.120723456,,
Antrodia albida,31,1.491361694,25,1.397940009,240,2.380211242,115,2.06069784,-1.372175286,-1.316790543,,
Antrodia gossypium,1,0,1,0,15,1.176091259,13,1.113943352,-2.787460475,-2.281732433,,
Antrodia serialis,5,0.698970004,5,0.698970004,113,2.053078443,54,1.73239376,-2.085647288,-1.656062693,,
Antrodia sinuosa,5,0.698970004,4,0.602059991,13,1.113943352,11,1.041392685,-2.183269844,-2.354632211,,
Antrodia vaillantii,2,0.301029996,2,0.301029996,49,1.69019608,25,1.397940009,-2.485721426,-1.995635195,,
Antrodia xantha,16,1.204119983,9,0.954242509,268,2.428134794,118,2.071882007,-1.827512865,-1.30505975,,
Aphanobasidium filicinum,1,0,1,0,83,1.919078092,49,1.69019608,-2.787460475,-1.699147231,,
Apiognomonia errabunda,6,0.77815125,6,0.77815125,83,1.919078092,49,1.69019608,-2.005752329,-1.699147231,,
Apiognomonia veneta,1,0,1,0,19,1.278753601,12,1.079181246,-2.787460475,-2.31666913,,
Apioporthella vepris,1,0,1,0,48,1.681241237,24,1.380211242,-2.787460475,-2.013539399,,
Appendiculella calostroma,2,0.301029996,2,0.301029996,81,1.908485019,38,1.579783597,-2.485721426,-1.811504452,,
Arachnopeziza eriobasis,1,0,1,0,61,1.785329835,41,1.612783857,-2.787460475,-1.777974672,,
Arachnopeziza obtusipila,1,0,1,0,21,1.322219295,13,1.113943352,-2.787460475,-2.281732433,,
Armillaria gallica,6,0.77815125,5,0.698970004,1184,3.073351702,450,2.653212514,-2.085647288,-0.658541347,,
Armillaria mellea,384,2.584331224,120,2.079181246,5620,3.749736316,1023,3.009875634,-0.614545703,-0.159504862,,
Armillaria ostoyae,1,0,1,0,707,2.849419414,298,2.474216264,-2.787460475,-0.868601051,,
Armillaria tabescens,13,1.113943352,10,1,228,2.357934847,117,2.068185862,-1.781036939,-1.308938181,,
Arrhenia acerosa,4,0.602059991,3,0.477121255,296,2.471291711,135,2.130333768,-2.308919956,-1.243497377,,
Arrhenia obscurata,6,0.77815125,5,0.698970004,42,1.62324929,25,1.397940009,-2.085647288,-1.995635195,,
Arrhenia onisca,3,0.477121255,3,0.477121255,85,1.929418926,38,1.579783597,-2.308919956,-1.811504452,,
Arrhenia retiruga,4,0.602059991,2,0.301029996,264,2.421603927,139,2.1430148,-2.485721426,-1.230081187,,
Arrhenia rickenii,1,0,1,0,104,2.017033339,55,1.740362689,-2.787460475,-1.647916174,,
Arrhenia spathulata,3,0.477121255,3,0.477121255,134,2.127104798,72,1.857332496,-2.308919956,-1.527916186,,
Arrhenia sphagnicola,1,0,1,0,80,1.903089987,45,1.653212514,-2.787460475,-1.736838983,,
Arthrinium puccinioides,1,0,1,0,44,1.643452676,27,1.431363764,-2.787460475,-1.961860352,,
Arthrinium sporophleum,1,0,1,0,48,1.681241237,20,1.301029996,-2.787460475,-2.093421685,,
Arthrocladiella mougeotii,1,0,1,0,25,1.397940009,16,1.204119983,-2.787460475,-2.191031609,,
Ascobolus brassicae,1,0,1,0,160,2.204119983,88,1.944482672,-2.787460475,-1.437894631,,
Ascobolus lignatilis,33,1.51851394,19,1.278753601,24,1.380211242,12,1.079181246,-1.495763365,-2.31666913,,
Ascobolus stercorarius,3,0.477121255,3,0.477121255,402,2.604226053,229,2.359835482,-2.308919956,-0.996381652,,
Ascochyta avenae,2,0.301029996,2,0.301029996,11,1.041392685,7,0.84509804,-2.485721426,-2.551624238,,
Ascochyta equiseti,1,0,1,0,18,1.255272505,1,0,-2.787460475,-3.397766256,,
Ascochyta leptospora,2,0.301029996,2,0.301029996,30,1.477121255,15,1.176091259,-2.485721426,-2.219235134,,
Ascochyta mercurialis,38,1.579783597,22,1.342422681,41,1.612783857,23,1.361727836,-1.429899026,-2.032198171,,
Ascochyta metulispora,7,0.84509804,5,0.698970004,9,0.954242509,6,0.77815125,-2.085647288,-2.618745199,,
Ascochyta microspora,1,0,1,0,1,0,1,0,-2.787460475,-3.397766256,,
Ascochyta moelleriana,3,0.477121255,3,0.477121255,8,0.903089987,6,0.77815125,-2.308919956,-2.618745199,,
Ascochyta primulae,1,0,1,0,2,0.301029996,2,0.301029996,-2.787460475,-3.096562438,,
Ascochyta pteridis,2,0.301029996,2,0.301029996,4,0.602059991,2,0.301029996,-2.485721426,-3.096562438,,
Ascochyta violae,2,0.301029996,2,0.301029996,5,0.698970004,3,0.477121255,-2.485721426,-2.920297288,,
Ascochyta vulgaris var. vulgaris,7,0.84509804,6,0.77815125,6,0.77815125,5,0.698970004,-2.005752329,-2.698100546,,
Ascocoryne albida,3,0.477121255,3,0.477121255,42,1.62324929,22,1.342422681,-2.308919956,-2.051678621,,
Ascocoryne cylichnium,13,1.113943352,12,1.079181246,684,2.835056102,348,2.541579244,-1.700415245,-0.791263023,,
Ascocoryne sarcoides,136,2.133538908,71,1.851258349,2935,3.467608106,817,2.912222057,-0.883541481,-0.313862059,,
Ascodichaena rugosa,1,0,1,0,513,2.710117365,153,2.184691431,-2.787460475,-1.185821659,,
Aspergillus niger,2,0.301029996,2,0.301029996,136,2.133538908,12,1.079181246,-2.485721426,-2.31666913,,
Asteroma coryli,14,1.146128036,12,1.079181246,4,0.602059991,3,0.477121255,-1.700415245,-2.920297288,,
Asteroma impressum,9,0.954242509,5,0.698970004,18,1.255272505,12,1.079181246,-2.085647288,-2.31666913,,
Asterophora lycoperdoides,2,0.301029996,2,0.301029996,274,2.437750563,134,2.127104798,-2.485721426,-1.246909942,,
Asterophora parasitica,12,1.079181246,8,0.903089987,424,2.627365857,219,2.340444115,-1.879382637,-1.01768117,,
Asterosporium asterospermum,5,0.698970004,5,0.698970004,35,1.544068044,19,1.278753601,-2.085647288,-2.115873163,,
Asterostroma laxum,6,0.77815125,6,0.77815125,21,1.322219295,16,1.204119983,-2.005752329,-2.191031609,,
Athelia arachnoidea,1,0,1,0,276,2.440909082,82,1.913813852,-2.787460475,-1.469642444,,
Athelia neuhoffii,10,1,6,0.77815125,33,1.51851394,22,1.342422681,-2.005752329,-2.051678621,,
Atopospora betulina,1,0,1,0,16,1.204119983,14,1.146128036,-2.787460475,-2.249373089,,
Aulographum hederae,1,0,1,0,64,1.806179974,36,1.556302501,-2.787460475,-1.835338203,,
Aureoboletus gentilis,2,0.301029996,2,0.301029996,202,2.305351369,36,1.556302501,-2.485721426,-1.835338203,,
Auricularia auricula-judae,311,2.492760389,111,2.045322979,9167,3.962227231,1203,3.080265627,-0.656245006,-0.032674349,,
Auricularia mesenterica,59,1.770852012,30,1.477121255,1835,3.263636069,499,2.698100546,-1.289291592,-0.603146543,,
Auriscalpium vulgare,27,1.431363764,10,1,651,2.813580989,258,2.411619706,-1.781036939,-0.939015902,,
Bactridium flavum,1,0,1,0,283,2.451786436,135,2.130333768,-2.787460475,-1.243497377,,
Baeospora myosura,61,1.785329835,28,1.447158031,993,2.996949248,378,2.5774918,-1.320739585,-0.74925358,,
Basidiodendron cinereum,34,1.531478917,27,1.431363764,9,0.954242509,7,0.84509804,-1.337274337,-2.551624238,,
Basidioradulum radula,3,0.477121255,3,0.477121255,512,2.709269961,245,2.389166084,-2.308919956,-0.963980462,,
Battarrea phalloides,1,0,1,0,85,1.929418926,29,1.462397998,-2.787460475,-1.930474748,,
Belonidium mollissimum,2,0.301029996,2,0.301029996,427,2.630427875,202,2.305351369,-2.485721426,-1.055998655,,
Bertia moriformis var. moriformis,10,1,8,0.903089987,411,2.613841822,203,2.307496038,-1.879382637,-1.053664957,,
Bionectria ochroleuca,2,0.301029996,2,0.301029996,14,1.146128036,11,1.041392685,-2.485721426,-2.354632211,,
Biscogniauxia nummularia,11,1.041392685,11,1.041392685,1375,3.138302698,384,2.584331224,-1.738924627,-0.741184439,,
Bisporella citrina,139,2.1430148,61,1.785329835,2080,3.318063335,643,2.808210973,-0.957395296,-0.460600931,,
Bisporella sulfurina,13,1.113943352,12,1.079181246,790,2.897627091,327,2.514547753,-1.700415245,-0.822511974,,
Bjerkandera adusta,362,2.558708571,125,2.096910013,5561,3.745152895,1043,3.018284308,-0.592398846,-0.145175243,,
Bjerkandera fumosa,15,1.176091259,14,1.146128036,378,2.5774918,171,2.23299611,-1.632023215,-1.134173378,,
Blumeria graminis,1,0,1,0,408,2.610660163,192,2.283301229,-2.787460475,-1.079934576,,
Boeremia exigua var. viburni,10,1,10,1,21,1.322219295,9,0.954242509,-1.781036939,-2.442131218,,
