,count,log_count,grid_count,log_grid,FRDBI_count,log_FRDBI_count,FRDBI_grid,log_FRDBI_grid,logit_grid,logit_FRDB_grid,,
Cudoniella tenuispora,1,0,1,0,22,1.342422681,13,1.113943352,-2.787460475,-2.281732433,,
Cumminsiella mirabilissima,27,1.431363764,13,1.113943352,367,2.564666064,154,2.187520721,-1.66493112,-1.182807287,,
Cyathus olla,8,0.903089987,6,0.77815125,395,2.596597096,248,2.394451681,-2.005752329,-0.958116705,,
Cyathus striatus,22,1.342422681,14,1.146128036,597,2.775974331,285,2.45484486,-1.632023215,-0.890528871,,
Cylindrium flavovirens,1,0,1,0,4,0.602059991,3,0.477121255,-2.787460475,-2.920297288,,
Cylindrobasidium laeve,12,1.079181246,10,1,905,2.956648579,411,2.613841822,-1.781036939,-0.706096618,,
Cyphella ferruginea,1,0,1,0,22,1.342422681,13,1.113943352,-2.787460475,-2.281732433,,
Cystoderma amianthinum,113,2.053078443,38,1.579783597,3552,3.550472957,940,2.973127854,-1.180638887,-0.219996745,,
Cystoderma simulatum,2,0.301029996,2,0.301029996,8,0.903089987,6,0.77815125,-2.485721426,-2.618745199,,
Cystolepiota bucknallii,16,1.204119983,8,0.903089987,306,2.485721426,144,2.158362492,-1.879382637,-1.213812794,,
Cystolepiota hetieri,31,1.491361694,6,0.77815125,228,2.357934847,107,2.029383778,-2.005752329,-1.349558921,,
Cystolepiota seminuda,53,1.72427587,23,1.361727836,756,2.878521796,292,2.465382851,-1.409859645,-0.878616218,,
Cytoplacosphaeria rimosa,1,0,1,0,3,0.477121255,2,0.301029996,-2.787460475,-3.096562438,,
Cytospora oxyacanthae,1,0,1,0,17,1.230448921,12,1.079181246,-2.787460475,-2.31666913,,
Cytospora populina,1,0,1,0,349,2.542825427,57,1.755874856,-2.787460475,-1.632048611,,
Dacrymyces capitatus,10,1,9,0.954242509,112,2.049218023,64,1.806179974,-1.827512865,-1.58049731,,
Dacrymyces minor,5,0.698970004,5,0.698970004,60,1.77815125,28,1.447158031,-2.085647288,-1.945890435,,
Dacrymyces punctiformis,1,0,1,0,56,1.748188027,25,1.397940009,-2.787460475,-1.995635195,,
Dacrymyces stillatus,237,2.374748346,82,1.913813852,6548,3.816108671,1176,3.070407322,-0.81209778,-0.051480663,,
Dacrymyces variisporus,2,0.301029996,2,0.301029996,33,1.51851394,20,1.301029996,-2.485721426,-2.093421685,,
Dacryobolus karstenii,3,0.477121255,2,0.301029996,148,2.170261715,59,1.770852012,-2.485721426,-1.616715768,,
Daedalea quercina,68,1.832508913,38,1.579783597,1554,3.191451014,575,2.759667845,-1.180638887,-0.524762889,,
Daedaleopsis confragosa,419,2.622214023,96,1.982271233,8471,3.927934682,1098,3.04060234,-0.732058527,-0.106145674,,
Daldinia concentrica,293,2.46686762,90,1.954242509,6773,3.830781076,1058,3.024485668,-0.765088778,-0.134479593,,
Daldinia fissa,2,0.301029996,1,0,181,2.257678575,98,1.991226076,-2.787460475,-1.389346927,,
Datronia mollis,11,1.041392685,6,0.77815125,1663,3.220892249,588,2.769377326,-2.005752329,-0.512110562,,
Davidiella macrocarpa,2,0.301029996,2,0.301029996,98,1.991226076,45,1.653212514,-2.485721426,-1.736838983,,
Davidiella macrospora,2,0.301029996,2,0.301029996,53,1.72427587,20,1.301029996,-2.485721426,-2.093421685,,
Delicatula integrella,30,1.477121255,22,1.342422681,195,2.290034611,112,2.049218023,-1.429899026,-1.3288163,,
Dematioscypha richonis var. richonis,3,0.477121255,2,0.301029996,5,0.698970004,2,0.301029996,-2.485721426,-3.096562438,,
Dendrothele acerina,1,0,1,0,243,2.385606274,125,2.096910013,-2.787460475,-1.278753601,,
Dendryphion comosum,2,0.301029996,2,0.301029996,566,2.752816431,229,2.359835482,-2.485721426,-0.996381652,,
Dermoloma cuneifolium,20,1.301029996,16,1.204119983,1307,3.116275588,422,2.625312451,-1.572581201,-0.692333092,,
Dermoloma pseudocuneifolium,9,0.954242509,8,0.903089987,58,1.763427994,34,1.531478917,-1.879382637,-1.860514155,,
Diaporthe arctii,12,1.079181246,11,1.041392685,127,2.103803721,83,1.919078092,-1.738924627,-1.464198558,,
Diaporthe chailletii,4,0.602059991,3,0.477121255,4,0.602059991,2,0.301029996,-2.308919956,-3.096562438,,
Diaporthe detrusa,1,0,1,0,7,0.84509804,5,0.698970004,-2.787460475,-2.698100546,,
Diaporthe eres,2,0.301029996,2,0.301029996,379,2.57863921,151,2.178976947,-2.485721426,-1.191906069,,
Diaporthe incarcerata,2,0.301029996,2,0.301029996,45,1.653212514,25,1.397940009,-2.485721426,-1.995635195,,
Diaporthe oncostoma,1,0,1,0,9,0.954242509,5,0.698970004,-2.787460475,-2.698100546,,
Diaporthe pardalota,9,0.954242509,8,0.903089987,71,1.851258349,36,1.556302501,-1.879382637,-1.835338203,,
Diaporthe rudis,1,0,1,0,36,1.556302501,15,1.176091259,-2.787460475,-2.219235134,,
Diaporthe scandens,2,0.301029996,1,0,2,0.301029996,1,0,-2.787460475,-3.397766256,,
Diaporthopsis angelicae,3,0.477121255,1,0,42,1.62324929,17,1.230448921,-2.787460475,-2.164527798,,
Diatrype bullata,13,1.113943352,5,0.698970004,383,2.583198774,185,2.267171728,-2.085647288,-1.097379267,,
Diatrype disciformis,214,2.330413773,83,1.919078092,3333,3.522835314,741,2.869818208,-0.806016429,-0.375447631,,
Diatrype stigma,145,2.161368002,46,1.662757832,3147,3.497896743,761,2.881384657,-1.091590504,-0.358914925,,
Diatrypella favacea,74,1.86923172,41,1.612783857,1266,3.102433706,456,2.658964843,-1.145370765,-0.651516049,,
Diatrypella quercina,7,0.84509804,6,0.77815125,1137,3.055760465,421,2.624282096,-2.005752329,-0.693572393,,
Dichomitus campestris,1,0,1,0,158,2.198657087,79,1.897627091,-2.787460475,-1.486367698,,
Dictyochaeta simplex,2,0.301029996,1,0,78,1.892094603,37,1.568201724,-2.787460475,-1.823262688,,
Didymella bryoniae,4,0.602059991,2,0.301029996,14,1.146128036,9,0.954242509,-2.485721426,-2.442131218,,
Didymella exigua,3,0.477121255,2,0.301029996,4,0.602059991,4,0.602059991,-2.485721426,-2.79518459,,
Didymella fabae,1,0,1,0,20,1.301029996,10,1,-2.787460475,-2.396199347,,
Diehliomyces microsporus,1,0,1,0,3,0.477121255,3,0.477121255,-2.787460475,-2.920297288,,
Digitodesmium elegans,2,0.301029996,2,0.301029996,6,0.77815125,5,0.698970004,-2.485721426,-2.698100546,,
Diplocarpon earlianum,2,0.301029996,2,0.301029996,56,1.748188027,29,1.462397998,-2.485721426,-1.930474748,,
Diplocarpon mespili,1,0,1,0,25,1.397940009,18,1.255272505,-2.787460475,-2.139529272,,
Diplocarpon rosae,19,1.278753601,7,0.84509804,225,2.352182518,125,2.096910013,-1.938090651,-1.278753601,,
Diplodia ilicicola,11,1.041392685,7,0.84509804,13,1.113943352,8,0.903089987,-1.938090651,-2.493458051,,
Diplodia melaena,1,0,1,0,12,1.079181246,5,0.698970004,-2.787460475,-2.698100546,,
Diplomitoporus lindbladii,1,0,1,0,149,2.173186268,60,1.77815125,-2.787460475,-1.609238576,,
Disciotis venosa,16,1.204119983,11,1.041392685,413,2.615950052,183,2.26245109,-1.738924627,-1.102474944,,
Discosia artocreas,13,1.113943352,9,0.954242509,50,1.698970004,27,1.431363764,-1.827512865,-1.961860352,,
Discostroma corticola,1,0,1,0,75,1.875061263,32,1.505149978,-2.787460475,-1.887195177,,
Ditiola peziziformis,14,1.146128036,12,1.079181246,179,2.252853031,88,1.944482672,-1.700415245,-1.437894631,,
Dothidea sambuci,1,0,1,0,6,0.77815125,5,0.698970004,-2.787460475,-2.698100546,,
Dothidella ulmi,12,1.079181246,9,0.954242509,127,2.103803721,71,1.851258349,-1.827512865,-1.534169166,,
Dothiora ribesia,2,0.301029996,2,0.301029996,21,1.322219295,12,1.079181246,-2.485721426,-2.31666913,,
Dothiora taxicola,3,0.477121255,2,0.301029996,1,0,1,0,-2.485721426,-3.397766256,,
Drepanopeziza populorum,2,0.301029996,2,0.301029996,19,1.278753601,14,1.146128036,-2.485721426,-2.249373089,,
Drepanopeziza ribis,1,0,1,0,37,1.568201724,15,1.176091259,-2.787460475,-2.219235134,,
Duebenia compta,1,0,1,0,3,0.477121255,1,0,-2.787460475,-3.397766256,,
Dumontinia tuberosa,3,0.477121255,2,0.301029996,170,2.230448921,89,1.949390007,-2.485721426,-1.432807204,,
Durella atrocyanea,2,0.301029996,2,0.301029996,59,1.770852012,33,1.51851394,-2.485721426,-1.87365521,,
Durella connivens,1,0,1,0,43,1.633468456,20,1.301029996,-2.787460475,-2.093421685,,
Echinoderma asperum,62,1.792391689,32,1.505149978,933,2.969881644,320,2.505149978,-1.259773006,-0.833306515,,
Echinoderma echinaceum,14,1.146128036,8,0.903089987,128,2.10720997,59,1.770852012,-1.879382637,-1.616715768,,
Echinoderma hystrix,1,0,1,0,33,1.51851394,23,1.361727836,-2.787460475,-2.032198171,,
Echinoderma pseudoasperulum,14,1.146128036,4,0.602059991,27,1.431363764,13,1.113943352,-2.183269844,-2.281732433,,
Efibulobasidium albescens,1,0,1,0,11,1.041392685,6,0.77815125,-2.787460475,-2.618745199,,
Eichleriella deglubens,28,1.447158031,22,1.342422681,287,2.457881897,146,2.164352856,-1.429899026,-1.207453603,,
Elaphomyces muricatus,1,0,1,0,177,2.247973266,105,2.021189299,-2.787460475,-1.358116219,,
Elsinoë rosarum,1,0,1,0,3,0.477121255,2,0.301029996,-2.787460475,-3.096562438,,
Encoelia fascicularis,1,0,1,0,28,1.447158031,15,1.176091259,-2.787460475,-2.219235134,,
Encoelia furfuracea,5,0.698970004,4,0.602059991,518,2.71432976,228,2.357934847,-2.183269844,-0.99847348,,
Entoleuca mammata,6,0.77815125,5,0.698970004,66,1.819543936,29,1.462397998,-2.085647288,-1.930474748,,
Entoloma aprile,5,0.698970004,3,0.477121255,56,1.748188027,36,1.556302501,-2.308919956,-1.835338203,,
Entoloma araneosum,40,1.602059991,26,1.414973348,56,1.748188027,37,1.568201724,-1.354403978,-1.823262688,,
Entoloma atrocoeruleum,1,0,1,0,158,2.198657087,72,1.857332496,-2.787460475,-1.527916186,,
Entoloma bloxamii,5,0.698970004,4,0.602059991,261,2.416640507,109,2.037426498,-2.183269844,-1.341153078,,
Entoloma cetratum,10,1,9,0.954242509,955,2.980003372,357,2.552668216,-1.827512865,-0.778353955,,
Entoloma chalybeum var. chalybeum,10,1,9,0.954242509,419,2.622214023,200,2.301029996,-1.827512865,-1.06069784,,
Entoloma chalybeum var. lazulinum,1,0,1,0,349,2.542825427,195,2.290034611,-2.787460475,-1.072636318,,
Entoloma clypeatum f. clypeatum,10,1,9,0.954242509,464,2.666517981,213,2.328379603,-1.827512865,-1.030886561,,
Entoloma conferendum var. conferendum,37,1.568201724,21,1.322219295,3484,3.542078146,1046,3.019531685,-1.450835399,-0.143032722,,
Entoloma dichroum,5,0.698970004,4,0.602059991,19,1.278753601,11,1.041392685,-2.183269844,-2.354632211,,
Entoloma dysthales,8,0.903089987,3,0.477121255,40,1.602059991,28,1.447158031,-2.308919956,-1.945890435,,
Entoloma euchroum,1,0,1,0,147,2.167317335,90,1.954242509,-2.787460475,-1.427774533,,
Entoloma hebes,9,0.954242509,8,0.903089987,521,2.716837723,233,2.367355921,-1.879382637,-0.988095599,,
Entoloma hirtipes,21,1.322219295,16,1.204119983,263,2.419955748,145,2.161368002,-1.572581201,-1.210622909,,
Entoloma incanum,36,1.556302501,26,1.414973348,372,2.57054294,159,2.201397124,-1.354403978,-1.168004289,,
Entoloma infula var. infula,1,0,1,0,276,2.440909082,107,2.029383778,-2.787460475,-1.349558921,,
Entoloma jubatum,1,0,1,0,285,2.45484486,127,2.103803721,-2.787460475,-1.271494017,,
Entoloma juncinum,14,1.146128036,13,1.113943352,146,2.164352856,84,1.924279286,-1.66493112,-1.458817644,,
Entoloma lampropus,9,0.954242509,9,0.954242509,276,2.440909082,128,2.10720997,-1.827512865,-1.267904715,,
Entoloma longistriatum var. sarcitulum ,9,0.954242509,9,0.954242509,219,2.340444115,50,1.698970004,-1.827512865,-1.69019608,,
Entoloma lucidum,3,0.477121255,3,0.477121255,118,2.071882007,64,1.806179974,-2.308919956,-1.58049731,,
Entoloma minutum,8,0.903089987,8,0.903089987,72,1.857332496,47,1.672097858,-1.879382637,-1.71759969,,
Entoloma mougeotii var. mougeotii,9,0.954242509,8,0.903089987,145,2.161368002,80,1.903089987,-1.879382637,-1.480725379,,
Entoloma neglectum,22,1.342422681,15,1.176091259,16,1.204119983,8,0.903089987,-1.601335563,-2.493458051,,
Entoloma nigellum,1,0,1,0,13,1.113943352,5,0.698970004,-2.787460475,-2.698100546,,
Entoloma nigrellum,1,0,1,0,2,0.301029996,2,0.301029996,-2.787460475,-3.096562438,,
Entoloma nitidum,1,0,1,0,56,1.748188027,42,1.62324929,-2.787460475,-1.767332588,,
Entoloma ortonii,8,0.903089987,7,0.84509804,155,2.190331698,94,1.973127854,-1.938090651,-1.408167769,,
Entoloma papillatum,14,1.146128036,13,1.113943352,714,2.853698212,323,2.509202522,-1.66493112,-0.828655907,,
Entoloma pleopodium,9,0.954242509,6,0.77815125,199,2.298853076,120,2.079181246,-2.005752329,-1.297395711,,
Entoloma politum,2,0.301029996,1,0,181,2.257678575,95,1.977723605,-2.787460475,-1.403391475,,
Entoloma porphyrophaeum,20,1.301029996,17,1.230448921,1019,3.008174184,391,2.592176757,-1.54552541,-0.731899822,,
Entoloma prunuloides,3,0.477121255,3,0.477121255,569,2.755112266,227,2.356025857,-2.308919956,-1.000573579,,
Entoloma rhodopolium,26,1.414973348,17,1.230448921,1908,3.28057837,670,2.826074803,-1.54552541,-0.436376287,,
Entoloma sericatum,1,0,1,0,242,2.383815366,121,2.08278537,-2.787460475,-1.293609072,,
Entoloma sericellum,17,1.230448921,12,1.079181246,1543,3.188365926,619,2.791690649,-1.700415245,-0.482698147,,
Entoloma sericeum var. sericeum,64,1.806179974,36,1.556302501,1778,3.249931757,704,2.847572659,-1.205625338,-0.406733673,,
Entoloma serrulatum,7,0.84509804,6,0.77815125,1106,3.043755127,436,2.639486489,-2.005752329,-0.675223204,,
Entoloma sinuatum,6,0.77815125,5,0.698970004,213,2.328379603,114,2.056904851,-2.085647288,-1.320765588,,
Entoloma solstitiale,1,0,1,0,24,1.380211242,15,1.176091259,-2.787460475,-2.219235134,,
Entoloma sphagneti,1,0,1,0,14,1.146128036,6,0.77815125,-2.787460475,-2.618745199,,
Entoloma turbidum,3,0.477121255,3,0.477121255,203,2.307496038,95,1.977723605,-2.308919956,-1.403391475,,
Entoloma turci,7,0.84509804,6,0.77815125,147,2.167317335,62,1.792391689,-2.005752329,-1.594642012,,
Entoloma undatum,13,1.113943352,9,0.954242509,195,2.290034611,102,2.008600172,-1.827512865,-1.371249007,,
Entomophthora muscae,4,0.602059991,4,0.602059991,141,2.149219113,85,1.929418926,-2.183269844,-1.453498209,,
Entyloma calendulae,1,0,1,0,42,1.62324929,6,0.77815125,-2.787460475,-2.618745199,,
Entyloma ficariae,5,0.698970004,2,0.301029996,622,2.793790385,319,2.503790683,-2.485721426,-0.834864983,,
Epichloë typhina,26,1.414973348,10,1,353,2.547774705,207,2.315970345,-1.781036939,-1.044433709,,
Epicoccum nigrum,5,0.698970004,4,0.602059991,555,2.744292983,115,2.06069784,-2.183269844,-1.316790543,,
Episclerotium sclerotipus,1,0,1,0,10,1,7,0.84509804,-2.787460475,-2.551624238,,
Episphaeria fraxinicola,1,0,1,0,18,1.255272505,16,1.204119983,-2.787460475,-2.191031609,,
Erynia phalloides,4,0.602059991,3,0.477121255,2,0.301029996,2,0.301029996,-2.308919956,-3.096562438,,
Eriopeziza caesia,2,0.301029996,2,0.301029996,115,2.06069784,72,1.857332496,-2.485721426,-1.527916186,,
Erysiphe adunca var. adunca,6,0.77815125,5,0.698970004,364,2.561101384,211,2.324282455,-2.085647288,-1.035363337,,
Erysiphe alphitoides,112,2.049218023,37,1.568201724,3067,3.486713776,897,2.952792443,-1.192974089,-0.252141079,,
Erysiphe aquilegiae var. aquilegiae,15,1.176091259,9,0.954242509,116,2.064457989,69,1.838849091,-1.827512865,-1.546935868,,
Erysiphe aquilegiae var. ranunculi,15,1.176091259,11,1.041392685,421,2.624282096,241,2.382017043,-1.738924627,-0.971899188,,
Erysiphe berberidis,18,1.255272505,5,0.698970004,130,2.113943352,77,1.886490725,-2.085647288,-1.497862689,,
Erysiphe biocellata,5,0.698970004,4,0.602059991,110,2.041392685,76,1.880813592,-2.183269844,-1.503719023,,
Erysiphe circaeae,10,1,6,0.77815125,442,2.645422269,264,2.421603927,-2.005752329,-0.927867872,,
Erysiphe convolvuli,3,0.477121255,2,0.301029996,58,1.763427994,49,1.69019608,-2.485721426,-1.699147231,,
Erysiphe cruciferarum,12,1.079181246,6,0.77815125,245,2.389166084,140,2.146128036,-2.005752329,-1.226783967,,
Erysiphe euonymi,8,0.903089987,5,0.698970004,62,1.792391689,43,1.633468456,-2.085647288,-1.756936701,,
Erysiphe euonymi-japonici,1,0,1,0,57,1.755874856,36,1.556302501,-2.787460475,-1.835338203,,
Erysiphe friesii,1,0,1,0,14,1.146128036,5,0.698970004,-2.787460475,-2.698100546,,
Erysiphe heraclei,83,1.919078092,47,1.672097858,2196,3.341632336,739,2.868644438,-1.081485201,-0.377114918,,
Erysiphe howeana,2,0.301029996,2,0.301029996,17,1.230448921,13,1.113943352,-2.485721426,-2.281732433,,
Erysiphe hyperici,3,0.477121255,3,0.477121255,176,2.245512668,115,2.06069784,-2.308919956,-1.316790543,,
Erysiphe lonicerae,2,0.301029996,1,0,70,1.84509804,51,1.707570176,-2.787460475,-1.681418609,,
Erysiphe pisi var. pisi,1,0,1,0,64,1.806179974,47,1.672097858,-2.787460475,-1.71759969,,
Erysiphe polygoni,15,1.176091259,9,0.954242509,394,2.595496222,221,2.344392274,-1.827512865,-1.013352051,,
Erysiphe prunastri,7,0.84509804,5,0.698970004,40,1.602059991,31,1.491361694,-2.085647288,-1.901159396,,
Erysiphe syringae,2,0.301029996,1,0,29,1.462397998,18,1.255272505,-2.787460475,-2.139529272,,
Erysiphe tortilis,8,0.903089987,7,0.84509804,275,2.439332694,146,2.164352856,-1.938090651,-1.207453603,,
Erysiphe trifolii var. trifolii,5,0.698970004,4,0.602059991,525,2.720159303,275,2.439332694,-2.183269844,-0.907997321,,
Erysiphe ulmariae,3,0.477121255,2,0.301029996,127,2.103803721,106,2.025305865,-2.485721426,-1.353818281,,
Erysiphe urticae,2,0.301029996,2,0.301029996,183,2.26245109,121,2.08278537,-2.485721426,-1.293609072,,
Erythricium aurantiacum,1,0,1,0,6,0.77815125,5,0.698970004,-2.787460475,-2.698100546,,
Erythricium laetum,5,0.698970004,5,0.698970004,30,1.477121255,17,1.230448921,-2.085647288,-2.164527798,,
Eupropolella britannica,2,0.301029996,1,0,12,1.079181246,7,0.84509804,-2.787460475,-2.551624238,,
Eutypa maura,1,0,1,0,473,2.674861141,255,2.40654018,-2.787460475,-0.944676165,,
Eutypa spinosa,2,0.301029996,2,0.301029996,434,2.63748973,197,2.294466226,-2.485721426,-1.067827712,,
Eutypella prunastri,3,0.477121255,1,0,113,2.053078443,50,1.698970004,-2.787460475,-1.69019608,,
Eutypella scoparia,4,0.602059991,2,0.301029996,178,2.250420002,95,1.977723605,-2.485721426,-1.403391475,,
Evernia prunastri,2,0.301029996,2,0.301029996,320,2.505149978,119,2.075546961,-2.485721426,-1.301212434,,
Excipularia fusispora,1,0,1,0,6,0.77815125,4,0.602059991,-2.787460475,-2.79518459,,
Exidia glandulosa,72,1.857332496,38,1.579783597,2903,3.462847036,716,2.854913022,-1.180638887,-0.396481828,,
Exidia nucleata,30,1.477121255,22,1.342422681,1509,3.17868924,534,2.727541257,-1.429899026,-0.566042256,,
Exidia recisa,16,1.204119983,10,1,215,2.33243846,120,2.079181246,-1.781036939,-1.297395711,,
Exidia saccharina,4,0.602059991,3,0.477121255,44,1.643452676,31,1.491361694,-2.308919956,-1.901159396,,
Exidia thuretiana,161,2.206825876,62,1.792391689,1653,3.218272854,551,2.741151599,-0.949547388,-0.54866024,,
Exidiopsis calcea,9,0.954242509,7,0.84509804,55,1.740362689,26,1.414973348,-1.938090651,-1.978426347,,
Exidiopsis effusa,1,0,1,0,124,2.093421685,66,1.819543936,-2.787460475,-1.566776638,,
Exidiopsis galzinii,5,0.698970004,5,0.698970004,16,1.204119983,9,0.954242509,-2.085647288,-2.442131218,,
Exobasidium camelliae,1,0,1,0,39,1.591064607,24,1.380211242,-2.787460475,-2.013539399,,
Exobasidium japonicum,2,0.301029996,1,0,116,2.064457989,70,1.84509804,-2.787460475,-1.540508234,,
Faerberia carbonaria,1,0,1,0,104,2.017033339,48,1.681241237,-2.787460475,-1.708279228,,
Fayodia bisphaerigera,1,0,1,0,63,1.799340549,26,1.414973348,-2.787460475,-1.978426347,,
Fenestella fenestrata,1,0,1,0,7,0.84509804,5,0.698970004,-2.787460475,-2.698100546,,
Fibrodontia gossypina,1,0,1,0,90,1.954242509,32,1.505149978,-2.787460475,-1.887195177,,
Fistulina hepatica,80,1.903089987,36,1.556302501,2934,3.46746011,735,2.866287339,-1.205625338,-0.380457371,,
Flagelloscypha minutissima,1,0,1,0,192,2.283301229,100,2,-2.787460475,-1.380211242,,
Flammulaster carpophilus var. carpophilus,3,0.477121255,3,0.477121255,142,2.152288344,68,1.832508913,-2.308919956,-1.553454658,,
Flammulaster ferrugineus,2,0.301029996,2,0.301029996,65,1.812913357,36,1.556302501,-2.485721426,-1.835338203,,
Flammulaster granulosus,3,0.477121255,3,0.477121255,167,2.222716471,80,1.903089987,-2.308919956,-1.480725379,,
Flammulaster muricatus,3,0.477121255,3,0.477121255,40,1.602059991,19,1.278753601,-2.308919956,-2.115873163,,
Flammulina velutipes var. velutipes,172,2.235528447,95,1.977723605,3822,3.582290683,910,2.959041392,-0.737443753,-0.242355732,,
Flavoparmelia caperata,2,0.301029996,2,0.301029996,120,2.079181246,53,1.72427587,-2.485721426,-1.6643581,,
Fomes fomentarius,9,0.954242509,7,0.84509804,1643,3.215637563,416,2.619093331,-1.938090651,-0.699804384,,
Fomitiporia robusta,1,0,1,0,56,1.748188027,18,1.255272505,-2.787460475,-2.139529272,,
Fomitopsis pinicola,2,0.301029996,2,0.301029996,40,1.602059991,15,1.176091259,-2.485721426,-2.219235134,,
Furia americana,1,0,1,0,16,1.204119983,11,1.041392685,-2.787460475,-2.354632211,,
Fuscoporia contigua,2,0.301029996,2,0.301029996,46,1.662757832,26,1.414973348,-2.485721426,-1.978426347,,
Fuscoporia ferrea,104,2.017033339,43,1.633468456,2028,3.307067951,520,2.716003344,-1.123167653,-0.580661847,,
Fuscoporia ferruginosa,256,2.408239965,74,1.86923172,1217,3.085290578,364,2.561101384,-0.86316204,-0.768499865,,
Galerina clavata,5,0.698970004,2,0.301029996,552,2.741939078,231,2.36361198,-2.485721426,-0.992222516,,
Galerina clavus,1,0,1,0,3,0.477121255,3,0.477121255,-2.787460475,-2.920297288,,
Galerina graminea,30,1.477121255,23,1.361727836,433,2.636487896,220,2.342422681,-1.409859645,-1.015512166,,
Galerina hypnorum,238,2.376576957,81,1.908485019,1063,3.026533265,445,2.648360011,-0.81824219,-0.664451815,,
Galerina jaapii,5,0.698970004,5,0.698970004,44,1.643452676,26,1.414973348,-2.085647288,-1.978426347,,
Galerina marginata,74,1.86923172,45,1.653212514,938,2.972202838,349,2.542825427,-1.101899753,-0.789814983,,
Galerina mniophila,32,1.505149978,22,1.342422681,337,2.527629901,165,2.217483944,-1.429899026,-1.150802941,,
Galerina paludosa,16,1.204119983,14,1.146128036,430,2.633468456,200,2.301029996,-1.632023215,-1.06069784,,
Galerina permixta,1,0,1,0,41,1.612783857,23,1.361727836,-2.787460475,-2.032198171,,
Galerina praticola,11,1.041392685,6,0.77815125,71,1.851258349,45,1.653212514,-2.005752329,-1.736838983,,
Galerina pseudomycenopsis,1,0,1,0,28,1.447158031,20,1.301029996,-2.787460475,-2.093421685,,
Galerina pumila,187,2.271841607,69,1.838849091,511,2.7084209,248,2.394451681,-0.897547412,-0.958116705,,
Galerina sideroides,5,0.698970004,1,0,74,1.86923172,48,1.681241237,-2.787460475,-1.708279228,,
Galerina sphagnorum,1,0,1,0,117,2.068185862,83,1.919078092,-2.787460475,-1.464198558,,
Galerina stylifera,2,0.301029996,1,0,74,1.86923172,22,1.342422681,-2.787460475,-2.051678621,,
Galerina uncialis,58,1.763427994,34,1.531478917,64,1.806179974,38,1.579783597,-1.231949077,-1.811504452,,
Galerina vittiformis,14,1.146128036,13,1.113943352,722,2.858537198,324,2.51054501,-1.66493112,-0.827113881,,
Gamundia striatula,6,0.77815125,6,0.77815125,64,1.806179974,31,1.491361694,-2.005752329,-1.901159396,,
Ganoderma applanatum,189,2.276461804,85,1.929418926,2204,3.34321159,631,2.800029359,-0.794036746,-0.471579942,,
Ganoderma australe,137,2.136720567,63,1.799340549,4554,3.658393026,882,2.945468585,-0.941811049,-0.263509932,,
Ganoderma lucidum,1,0,1,0,323,2.509202522,143,2.155336037,-2.787460475,-1.217023545,,
Ganoderma pfeifferi,2,0.301029996,2,0.301029996,267,2.426511261,77,1.886490725,-2.485721426,-1.497862689,,
Geastrum campestre,1,0,1,0,10,1,5,0.698970004,-2.787460475,-2.698100546,,
Geastrum fimbriatum,47,1.672097858,21,1.322219295,571,2.756636108,263,2.419955748,-1.450835399,-0.929710236,,
Geastrum floriforme,1,0,1,0,39,1.591064607,23,1.361727836,-2.787460475,-2.032198171,,
Geastrum fornicatum,1,0,1,0,146,2.164352856,66,1.819543936,-2.787460475,-1.566776638,,
Geastrum pectinatum,1,0,1,0,156,2.193124598,74,1.86923172,-2.787460475,-1.515659077,,
Geastrum quadrifidum,5,0.698970004,3,0.477121255,42,1.62324929,22,1.342422681,-2.308919956,-2.051678621,,
Geastrum rufescens,5,0.698970004,5,0.698970004,218,2.338456494,135,2.130333768,-2.085647288,-1.243497377,,
Geastrum schmidelii,2,0.301029996,2,0.301029996,79,1.897627091,42,1.62324929,-2.485721426,-1.767332588,,
Geastrum striatum,3,0.477121255,3,0.477121255,306,2.485721426,173,2.238046103,-2.308919956,-1.12875028,,
Geastrum triplex,134,2.127104798,56,1.748188027,1660,3.220108088,501,2.699837726,-0.998446172,-0.600975068,,
Geoglossum cookeanum,14,1.146128036,9,0.954242509,707,2.849419414,244,2.387389826,-1.827512865,-0.965949269,,
Geoglossum difforme,4,0.602059991,4,0.602059991,6,0.77815125,5,0.698970004,-2.183269844,-2.698100546,,
Geoglossum glabrum,1,0,1,0,7,0.84509804,7,0.84509804,-2.787460475,-2.551624238,,
Geoglossum nigritum,3,0.477121255,3,0.477121255,139,2.1430148,58,1.763427994,-2.308919956,-1.624317666,,
Geopora arenicola,1,0,1,0,57,1.755874856,30,1.477121255,-2.787460475,-1.915575699,,
Geopora foliacea,5,0.698970004,3,0.477121255,25,1.397940009,16,1.204119983,-2.308919956,-2.191031609,,
Geopora sumneriana,11,1.041392685,4,0.602059991,206,2.31386722,67,1.826074803,-2.183269844,-1.560067306,,
Geopora tenuis,1,0,1,0,49,1.69019608,28,1.447158031,-2.787460475,-1.945890435,,
Geopyxis carbonaria,1,0,1,0,69,1.838849091,36,1.556302501,-2.787460475,-1.835338203,,
Gibberella baccata,1,0,1,0,172,2.235528447,23,1.361727836,-2.787460475,-2.032198171,,
Gibberella pulicaris,1,0,1,0,174,2.240549248,43,1.633468456,-2.787460475,-1.756936701,,
Gliocladium roseum,2,0.301029996,2,0.301029996,219,2.340444115,30,1.477121255,-2.485721426,-1.915575699,,
