,count,log_count,National_count,log_National_count,National_grid,log_National_grid,National_grid_p,logit_National_grid,,
Russula queletii,10,1,563,2.750508395,131,2.117271296,0.280513919,-0.409067982,,
Russula raoultii,13,1.113943352,27,1.431363764,20,1.301029996,0.042826552,-1.349277527,,
Russula risigallina,5,0.698970004,110,2.041392685,56,1.748188027,0.119914347,-0.865653795,,
Russula romellii,101,2.004321374,48,1.681241237,29,1.462397998,0.062098501,-1.179076113,,
Russula rosea,77,1.886490725,330,2.51851394,78,1.892094603,0.167023555,-0.697854999,,
Russula rubra,34,1.531478917,8,0.903089987,4,0.602059991,0.00856531,-2.063521,,
Russula vesca,56,1.748188027,243,2.385606274,95,1.977723605,0.203426124,-0.592819335,,
Russula virescens,5,0.698970004,85,1.929418926,45,1.653212514,0.096359743,-0.972099937,,
Russula xerampelina,2,0.301029996,240,2.380211242,98,1.991226076,0.209850107,-0.57580029,,
Stropharia aeruginosa,47,1.672097858,256,2.408239965,100,2,0.214132762,-0.564666064,,
Suillellus luridus,2,0.301029996,394,2.595496222,118,2.071882007,0.25267666,-0.47094342,,
Suillus bovinus,7,0.84509804,120,2.079181246,35,1.544068044,0.074946467,-1.091415702,,
Suillus grevillei,314,2.496929648,482,2.683047038,117,2.068185862,0.250535332,-0.475882183,,
Suillus viscidus,169,2.227886705,204,2.309630167,90,1.954242509,0.192719486,-0.622098841,,
Tapinella atrotomentosa,92,1.963787827,177,2.247973266,70,1.84509804,0.149892934,-0.753692467,,
Tapinella panuoides,2,0.301029996,32,1.505149978,30,1.477121255,0.064239829,-1.163360182,,
Tephrocybe murina,38,1.579783597,3,0.477121255,3,0.477121255,0.006423983,-2.189396726,,
Tephrocybe putida,9,0.954242509,8,0.903089987,5,0.698970004,0.010706638,-1.965671971,,
Tephrocybe rancida,60,1.77815125,98,1.991226076,51,1.707570176,0.109207709,-0.911523155,,
Trichocybe puberula,2,0.301029996,2,0.301029996,2,0.301029996,0.004282655,-2.366422957,,
Tricholoma bufonium,1,0,135,2.130333768,46,1.662757832,0.098501071,-0.961524264,,
Tricholoma inamoenum,62,1.792391689,130,2.113943352,57,1.755874856,0.122055675,-0.856909001,,
Tricholoma pardinum,40,1.602059991,74,1.86923172,42,1.62324929,0.08993576,-1.00513964,,
Tricholoma saponaceum,13,1.113943352,372,2.57054294,124,2.093421685,0.265524625,-0.441872435,,
Tricholoma sciodes,124,2.093421685,93,1.968482949,48,1.681241237,0.102783726,-0.940972786,,
Tricholoma stans,15,1.176091259,9,0.954242509,9,0.954242509,0.019271949,-1.706622969,,
Tricholoma sulphureum,13,1.113943352,242,2.383815366,111,2.045322979,0.237687366,-0.506127019,,
Tricholoma terreum,1,0,310,2.491361694,91,1.959041392,0.194860814,-0.616146453,,
Tricholoma ustale,745,2.872156273,119,2.075546961,60,1.77815125,0.128479657,-0.831443159,,
Tricholoma virgatum,21,1.322219295,52,1.716003344,33,1.51851394,0.070663812,-1.11897579,,
Tricholomopsis rutilans,24,1.380211242,530,2.72427587,116,2.064457989,0.248394004,-0.480849127,,
Tubaria conspersa,6,0.77815125,51,1.707570176,36,1.556302501,0.077087794,-1.078174769,,
Tubaria furfuracea,4,0.602059991,210,2.322219295,81,1.908485019,0.173447537,-0.678102286,,
Tylopilus felleus,18,1.255272505,136,2.133538908,59,1.770852012,0.12633833,-0.839808151,,
Typhula fistulosa,4,0.602059991,48,1.681241237,35,1.544068044,0.074946467,-1.091415702,,
Xerocomellus chrysenteron,2476,3.39375064,717,2.855519156,137,2.136720567,0.293361884,-0.381793373,,
Xerocomellus porosporus,16,1.204119983,13,1.113943352,11,1.041392685,0.023554604,-1.617572158,,
Xerocomellus pruinatus,146,2.164352856,54,1.73239376,26,1.414973348,0.055674518,-1.229465241,,
